
1,639.0
2,591.0
3,1722.0
4,774.0
5,761.0
6,590.0
7,605.0
8,241.0
9,241.0
10,608.0
11,249.0
12,707.0
13,1045.0
14,685.0
15,595.0
16,1147.0
17,596.0
18,244.0
19,756.0
20,229.0
21,734.0
22,248.0
23,249.0
24,605.0
25,603.0
26,243.0
27,227.0
28,249.0
29,930.0
30,242.0
31,1026.0
32,807.0
33,913.0
34,1225.0
35,1294.0
36,616.0
37,251.0
38,973.0
39,636.0
40,806.0
41,620.0
42,1299.0
43,636.0
44,602.0
45,836.0
46,609.0
47,225.0
48,927.0
49,639.0
50,986.0
51,724.0
52,1259.0
53,1194.0
54,639.0
55,237.0
56,233.0
57,235.0
58,613.0
59,974.0
60,971.0
61,593.0
62,1117.0
63,239.0
64,563.0
65,614.0
66,614.0
67,617.0
68,636.0
69,242.0
70,624.0
71,231.0
72,888.0
73,243.0
74,252.0
75,615.0
76,1181.0
77,934.0
78,729.0
79,1009.0
80,775.0
81,739.0
82,637.0
83,226.0
84,237.0
85,230.0
86,755.0
87,588.0
88,248.0
89,239.0
90,638.0
91,651.0
92,610.0
93,690.0
94,1130.0
95,920.0
96,226.0
97,619.0
98,612.0
99,1295.0
100,610.0
101,774.0
102,1756.0
103,248.0
104,803.0
105,730.0
106,615.0
107,1301.0
108,692.0
109,604.0
110,639.0
111,238.0
112,637.0
113,240.0
114,956.0
115,772.0
116,690.0
117,1302.0
118,228.0
119,602.0
120,230.0
121,619.0
122,639.0
123,842.0
124,1283.0
125,248.0
126,705.0
127,241.0
128,1004.0
129,637.0
130,248.0
131,240.0
132,638.0
133,711.0
134,715.0
135,611.0
136,734.0
137,231.0
138,213.0
139,577.0
140,789.0
141,973.0
142,939.0
143,981.0
144,248.0
145,786.0
146,245.0
147,735.0
148,638.0
149,235.0
150,922.0
151,1177.0
152,241.0
153,977.0
154,784.0
155,1250.0
156,624.0
157,246.0
158,227.0
159,235.0
160,629.0
161,624.0
162,616.0
163,585.0
164,637.0
165,639.0
166,234.0
167,1235.0
168,610.0
169,899.0
170,657.0
171,607.0
172,233.0
173,603.0
174,1352.0
175,718.0
176,1107.0
177,1486.0
178,793.0
179,234.0
180,598.0
181,590.0
182,636.0
183,638.0
184,801.0
185,560.0
186,1304.0
187,249.0
188,237.0
189,984.0
190,617.0
191,236.0
192,638.0
193,837.0
194,240.0
195,675.0
196,1009.0
197,248.0
